date 	1 	2 	3 	4 	5 	E1 	E2
2013-01-04	6	20	29	40	45	5	8	
2013-01-11	6	31	37	41	49	2	3	
2013-01-18	9	13	21	28	45	6	7	
2013-01-25	4	13	28	37	38	7	8	
2013-02-01	2	4	14	26	29	6	7	
2013-02-08	12	14	17	27	43	1	7	
2013-02-15	4	9	26	32	40	3	5	
2013-02-22	3	13	41	46	49	3	8	
2013-03-01	19	28	29	34	44	1	5	
2013-03-08	10	12	14	30	43	2	5	
2013-03-15	4	30	32	41	50	5	7	
2013-03-22	5	12	21	43	48	5	6	
2013-03-29	1	22	27	37	50	5	7	
2013-04-05	22	31	37	38	41	2	6	
2013-04-12	8	19	22	32	40	1	8	
2013-04-19	17	18	22	24	25	1	6	
2013-04-26	11	14	19	23	49	4	5	
2013-05-03	14	16	28	44	48	3	7	
2013-05-10	6	9	31	33	35	1	7	
2013-05-17	4	6	10	13	32	1	8	
2013-05-24	2	4	9	20	41	3	5	
2013-05-31	5	9	12	23	40	2	7	
2013-06-07	6	9	11	29	35	2	6	
2013-06-14	1	25	46	47	48	3	8	
2013-06-21	5	14	21	23	50	2	7	
2013-06-28	6	8	23	33	49	3	8	
2013-07-05	15	16	17	19	50	5	7	
2013-07-12	7	27	33	47	48	2	7	
2013-07-19	7	18	19	33	37	2	5	
2013-07-26	4	13	19	25	43	3	4	
2013-08-02	14	23	29	33	37	2	5	
2013-08-09	7	26	32	34	49	1	6	
2013-08-16	5	32	33	38	49	3	8	
2013-08-23	4	10	25	30	47	2	3	
2013-08-30	6	9	10	17	43	2	8	
2013-09-06	3	7	20	32	44	4	5	
2013-09-13	3	10	18	31	43	1	7	
2013-09-20	2	6	15	18	24	5	7	
2013-09-27	6	10	21	34	36	1	4	
2013-10-04	1	7	16	21	48	1	8	
2013-10-11	2	11	23	29	34	7	8	
2013-10-18	7	22	24	25	41	1	3	
2013-10-25	9	25	39	41	46	2	8	
2013-11-01	7	10	13	26	27	5	8	
2013-11-08	18	25	28	34	42	3	4	
2013-11-15	3	19	32	43	48	4	8	
2013-11-22	1	38	39	42	47	1	2	
2013-11-29	17	25	32	35	45	4	7	
2013-12-06	1	8	18	25	47	2	7	
2013-12-13	9	19	24	28	49	2	8	
2013-12-20	9	12	22	37	40	6	8	
2013-12-27	2	15	33	40	43	3	7	
