date	1	2	3	4	5	E1	E2
2016-01-01	11	14	35	44	45	5	6	
2016-01-08	1	2	5	24	47	3	8	
2016-01-15	4	23	25	37	39	1	9	
2016-01-22	3	19	26	29	36	4	9	
2016-01-29	3	20	32	40	42	4	9	
2016-02-05	10	25	35	37	43	5	8	
2016-02-12	7	20	21	33	41	1	2	
2016-02-19	10	12	28	29	49	3	4	
2016-02-26	9	11	19	42	45	7	10	
2016-03-04	2	5	10	13	28	3	10	
2016-03-11	10	16	31	37	40	3	9	
2016-03-18	10	20	35	47	50	4	7	
2016-03-25	9	10	19	20	35	3	4	
2016-04-01	6	12	21	40	49	8	10	
2016-04-08	1	2	16	31	50	1	7	
2016-04-15	1	5	17	39	46	6	7	
2016-04-22	5	28	31	33	49	1	2	
2016-04-29	10	14	20	24	40	2	10	
2016-05-06	12	24	38	45	46	6	10	
2016-05-13	6	7	36	39	40	1	10	
2016-05-20	6	19	23	33	34	4	7	
2016-05-27	4	10	26	33	48	5	9	
2016-06-03	13	20	32	34	47	6	9	
2016-06-10	11	12	26	28	37	8	10	
2016-06-17	16	18	19	23	44	1	3	
2016-06-24	19	21	24	41	48	1	6	
2016-07-01	29	37	38	47	50	2	4	
2016-07-08	4	19	21	31	42	5	10	
2016-07-15	12	22	36	38	50	2	9	
2016-07-22	6	14	20	26	46	2	4	
2016-07-29	4	8	22	36	44	5	10	
2016-08-05	5	11	12	30	40	2	5	
2016-08-12	6	15	18	21	38	1	4	
2016-08-19	22	33	42	43	46	6	10	
2016-08-26	4	8	9	33	43	5	9	
2016-09-02	15	28	30	42	50	1	8	
2016-09-09	11	27	34	35	39	6	10	
2016-09-16	15	28	30	37	43	2	5	
2016-09-23	1	7	23	25	45	5	8	
2016-09-30	4	28	29	39	44	8	10	
2016-10-07	1	10	20	43	44	6	9	
2016-10-14	7	10	25	39	42	3	6	
2016-10-21	14	16	28	34	35	3	9	
2016-10-28	1	4	6	12	13	1	6	
2016-11-04	14	15	16	22	50	2	10	
2016-11-11	1	16	18	42	47	6	8	
2016-11-18	7	10	16	32	40	1	6	
2016-11-25	19	28	34	45	49	1	6	
2016-12-02	1	20	39	48	50	3	7	
2016-12-09	12	17	29	44	50	2	10	
2016-12-16	2	3	24	25	34	6	8	
2016-12-23	13	27	30	42	46	3	4	
2016-12-30	27	30	45	47	50	1	9
