date 	1 	2 	3 	4 	5 	EZ1	EZ2
2023-01-03	28	29	31	37	50	4	5	
2023-01-06	14	28	31	47	50	7	12	
2023-01-10	9	16	27	41	45	1	4	
2023-01-13	7	14	34	41	49	4	9	
2023-01-17	6	11	16	35	44	2	6	
2023-01-20	1	12	15	31	47	9	10	
2023-01-24	9	16	17	27	31	1	9	
2023-01-27	4	9	29	34	37	3	12	
2023-01-31	20	21	30	41	43	10	11	
2023-02-03	1	7	17	44	50	2	10	
2023-02-07	10	15	25	37	46	7	12	
2023-02-10	3	10	20	36	42	8	10	
2023-02-14	1	2	6	14	45	2	7	
2023-02-17	5	12	15	21	39	3	4	
2023-02-21	13	20	34	38	43	3	6	
2023-02-24	1	5	12	18	20	6	7	
2023-02-28	6	20	27	38	49	3	9	
2023-03-03	1	18	37	46	48	3	7	
2023-03-07	4	11	12	16	42	3	5	
2023-03-10	6	17	22	39	46	5	12	
2023-03-14	9	16	32	34	48	2	6	
2023-03-17	5	18	21	29	45	1	6	
2023-03-21	8	13	16	44	47	6	8	
2023-03-24	6	21	23	26	43	3	9	
2023-03-28	6	12	36	37	44	1	11	
2023-03-31	10	11	31	37	44	5	12	
2023-04-04	1	15	19	24	33	7	8	
2023-04-07	16	28	32	36	48	5	10	
2023-04-11	5	19	33	37	42	7	9	
2023-04-14	7	11	20	21	29	6	11	
2023-04-18	16	28	31	35	42	2	10	
2023-04-21	5	13	16	41	45	3	6	
2023-04-25	12	21	24	28	40	1	3	
2023-04-28	4	8	9	30	35	6	7	
2023-05-02	11	12	13	23	26	11	12	
2023-05-05	17	18	30	33	35	6	8	
2023-05-09	6	11	29	34	39	2	3	
2023-05-12	10	27	30	32	34	5	8	
2023-05-16	28	30	31	45	46	4	8	
2023-05-19	1	5	8	20	35	3	12	
2023-05-23	1	2	11	14	36	2	3	
2023-05-26	1	3	29	45	47	5	8	
2023-05-30	2	8	16	21	39	4	5	
2023-06-02	8	9	11	13	50	6	11	
2023-06-06	5	7	21	22	29	3	10	
2023-06-09	8	13	24	35	46	6	8	
2023-06-13	11	29	32	46	47	5	7	
2023-06-16	5	19	33	36	42	7	12
